,标题,价格(元/月),片区,lng,lat,nearest_station_id,distance_km,station_name,区域,面积(㎡),rent_per_unit
0,整租·上海康城 2室1厅 南,4300,闵行-莘闵别墅-上海康城,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,104.13,41.29453567655815
1,整租·长寿新村(闵行) 2室1厅 南,3736,闵行-莘庄南广场-长寿新村(闵行),121.379555,31.105967,5号线,0.799,莘庄,闵行,67.02,55.74455386451806
2,整租·凤庆小区 2室1厅 南,3000,闵行-老闵行-凤庆小区,121.402035,31.013607,5号线,0.8198,金平路,闵行,53.23,56.359195942137895
3,整租·中骏广场 1室0厅 南,5000,闵行-华漕-中骏广场,121.314147,31.21175,17号线,2.018,虹桥火车站,闵行,50.0,100.0
4,整租·鑫都城云天绿洲 1室2厅 南,4000,闵行-颛桥-鑫都城云天绿洲,121.392574,31.052428,5号线,1.8442,颛桥,闵行,58.0,68.96551724137932
5,整租·虹梅菁典 2室2厅 南,5400,闵行-春申-虹梅菁典,121.430217,31.113563,15号线,0.9464,景洪路(15号线),闵行,78.0,69.23076923076923
6,整租·虹浦新城北区 2室2厅 南/北,4200,闵行-闵浦-虹浦新城北区,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,78.0,53.84615384615385
7,整租·滨浦新苑一村 2室1厅 南/北,4400,闵行-浦江-滨浦新苑一村,121.505667,31.068941,8号线,0.6957,联航路,闵行,77.6,56.701030927835056
8,整租·丽都城假日景苑 1室1厅 南,3900,闵行-老闵行-丽都城假日景苑,121.406407,31.014407,5号线,0.5002,金平路,闵行,68.12,57.25190839694656
9,整租·万科城 3室1厅 南,5000,闵行-老闵行-万科城,121.386109,31.027058,5号线,2.3408,华宁路,闵行,91.57,54.603035928797645
10,整租·上海康城 3室2厅 南,5900,闵行-莘闵别墅-上海康城,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,137.0,43.065693430656935
11,整租·凤庆小区 2室1厅 南,3300,闵行-老闵行-凤庆小区,121.402035,31.013607,5号线,0.8198,金平路,闵行,54.75,60.273972602739725
12,整租·平南三四村 1室1厅 南,4500,闵行-古美-平南三四村,121.400437,31.156156,12号线,0.5554,虹梅路,闵行,40.0,112.5
13,整租·莘松五村 1室1厅 南,4200,闵行-莘庄北广场-莘松五村,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,39.05,107.55441741357235
14,整租·古北尚郡 1室1厅 南,11000,闵行-金虹桥-古北尚郡,121.397262,31.199617,15号线,0.1348,红宝石路,闵行,63.54,173.11929493232608
15,整租·浦江颐城晶寓 3室2厅 南/北,7600,闵行-浦江-浦江颐城晶寓,121.502285,31.098529,8号线,0.4369,浦江镇,闵行,87.24,87.11600183402109
16,整租·新浦江城(浦驰路1336弄) 3室2厅 南/北,11000,闵行-浦江-新浦江城(浦驰路1336弄),121.495816,31.099175,8号线,1.0378,浦江镇,闵行,119.51,92.04250690318801
17,整租·新浦江城(浦申路1288弄) 2室2厅 南/西,8000,闵行-浦江-新浦江城(浦申路1288弄),121.495816,31.099175,8号线,1.0378,浦江镇,闵行,96.83,82.61902303005267
