标题,价格(元/月),面积,片区,lng,lat,nearest_station_id,distance_km
整租·上海康城 2室1厅 南,4300,104.13㎡,闵行-莘闵别墅-上海康城,121.436307,31.188334,1号线,0.6212
整租·长寿新村(闵行) 2室1厅 南,3736,67.02㎡,闵行-莘庄南广场-长寿新村(闵行),121.379555,31.105967,5号线,0.799
整租·凤庆小区 2室1厅 南,3000,53.23㎡,闵行-老闵行-凤庆小区,121.402035,31.013607,5号线,0.8198
整租·中骏广场 1室0厅 南,5000,50.00㎡,闵行-华漕-中骏广场,121.314147,31.21175,17号线,2.018
整租·鑫都城云天绿洲 1室2厅 南,4000,58.00㎡,闵行-颛桥-鑫都城云天绿洲,121.392574,31.052428,5号线,1.8442
整租·虹梅菁典 2室2厅 南,5400,78.00㎡,闵行-春申-虹梅菁典,121.430217,31.113563,15号线,0.9464
整租·虹浦新城北区 2室2厅 南/北,4200,78.00㎡,闵行-闵浦-虹浦新城北区,121.436307,31.188334,1号线,0.6212
整租·滨浦新苑一村 2室1厅 南/北,4400,77.60㎡,闵行-浦江-滨浦新苑一村,121.505667,31.068941,8号线,0.6957
整租·丽都城假日景苑 1室1厅 南,3900,68.12㎡,闵行-老闵行-丽都城假日景苑,121.406407,31.014407,5号线,0.5002
整租·万科城 3室1厅 南,5000,91.57㎡,闵行-老闵行-万科城,121.386109,31.027058,5号线,2.3408
整租·上海康城 3室2厅 南,5900,137.00㎡,闵行-莘闵别墅-上海康城,121.436307,31.188334,1号线,0.6212
整租·凤庆小区 2室1厅 南,3300,54.75㎡,闵行-老闵行-凤庆小区,121.402035,31.013607,5号线,0.8198
整租·平南三四村 1室1厅 南,4500,40.00㎡,闵行-古美-平南三四村,121.400437,31.156156,12号线,0.5554
整租·莘松五村 1室1厅 南,4200,39.05㎡,闵行-莘庄北广场-莘松五村,121.436307,31.188334,1号线,0.6212
整租·古北尚郡 1室1厅 南,11000,63.54㎡,闵行-金虹桥-古北尚郡,121.397262,31.199617,15号线,0.1348
