标题,价格(元/月),面积,片区,lng,lat,nearest_station_id,distance_km
整租·梅陇十村 1室1厅 南,3800,49.19㎡,徐汇-华东理工-梅陇十村,121.423617,31.130903,15号线,1.1646
整租·华利公寓 3室2厅 南/西,9050,124.52㎡,徐汇-田林-华利公寓,121.415203,31.179734,15号线,0.5259
整租·银星名庭 1室1厅 南,5200,77.04㎡,徐汇-万体馆-银星名庭,121.437294,31.169061,12号线,0.4036
整租·金环大厦 4室3厅 南,28000,225.49㎡,徐汇-建国西路-金环大厦,121.458244,31.204359,9号线,0.2899
整租·云锦东方云筑 5室3厅 南,220000,560.00㎡,徐汇-龙华-云锦东方云筑,121.447914,31.170583,3号线,0.3589
整租·乐山八九村 2室1厅 南,7800,57.62㎡,徐汇-徐家汇-乐山八九村,121.428819,31.193932,11号线,0.7622
整租·吴兴路24弄 1室1厅 南,4580,20.10㎡,徐汇-衡山路-吴兴路24弄,121.441816,31.205721,10号线,0.3471
整租·华沁家园 1室2厅 东南,5300,56.19㎡,徐汇-植物园-华沁家园,121.450626,31.136849,15号线,1.5303
整租·尚海湾豪庭三期 4室2厅 南,55000,237.96㎡,徐汇-徐汇滨江-尚海湾豪庭三期,121.460283,31.179931,12号线,0.5807
整租·岳阳公寓 3室2厅 南,22000,116.98㎡,徐汇-建国西路-岳阳公寓,121.453058,31.204125,9号线,0.5863
整租·新贵都万体景苑 3室2厅 南,18800,114.46㎡,徐汇-徐家汇-新贵都万体景苑,121.442248,31.186828,4号线,0.1824
整租·长青坊 1室1厅 南,4600,44.76㎡,徐汇-康健-长青坊,121.417606,31.154362,1号线,1.1858
整租·光大会展中心 3室2厅 东/北,13000,133.91㎡,徐汇-康健-光大会展中心,121.428035,31.166528,12号线,0.5269
整租·光大会展中心 2室1厅 北,9100,91.87㎡,徐汇-康健-光大会展中心,121.428035,31.166528,12号线,0.5269
整租·华欣家园 2室1厅 南,4700,73.00㎡,徐汇-华泾-华欣家园,121.460936,31.11959,市域机场线,1.9205
整租·乐山四五村 1室1厅 南,4600,35.66㎡,徐汇-徐家汇-乐山四五村,121.433131,31.196395,11号线,0.345
整租·寿祥坊 1室1厅 南,4600,58.20㎡,徐汇-康健-寿祥坊,121.419231,31.151108,1号线,1.1001
整租·中漕小区 1室1厅 南,5000,40.95㎡,徐汇-徐家汇-中漕小区,121.435454,31.183805,1号线,0.2175
整租·康宁坊 2室1厅 南/北,6426,56.70㎡,徐汇-康健-康宁坊,121.427606,31.157214,1号线,0.3731
整租·金轩公寓 1室1厅 南,8000,72.29㎡,徐汇-徐家汇-金轩公寓,121.439696,31.188397,4号线,0.4788
整租·安福路7号 6室3厅 东/南/西/北,300000,498.00㎡,徐汇-衡山路-安福路7号,121.445944,31.21603,7号线,0.4123
整租·田林新苑 2室1厅 南,7300,70.00㎡,徐汇-田林-田林新苑,121.426996,31.173799,12号线,0.842
整租·公安大楼(徐汇) 1室1厅 南,5800,47.10㎡,徐汇-衡山路-公安大楼(徐汇),121.445083,31.199055,9号线,0.4906
整租·番禺路650弄 2室0厅 南,7200,42.65㎡,徐汇-徐家汇-番禺路650弄,121.42939,31.19955,11号线,0.6319
整租·斜土路2200弄 2室1厅 南/北,7000,60.90㎡,徐汇-徐家汇-斜土路2200弄,121.449739,31.192165,4号线,0.5137
整租·丰三小区 2室1厅 南,6500,54.17㎡,徐汇-龙华-丰三小区,121.454454,31.166904,11号线,0.3902
整租·丝庐花语 3室2厅 南,17000,139.02㎡,徐汇-斜土路-丝庐花语,121.466644,31.196419,12号线,0.4141
整租·锦汇苑 2室1厅 南,9500,94.26㎡,徐汇-徐家汇-锦汇苑,121.434315,31.187927,1号线,0.6397
整租·龙山新村 1室1厅 南,5960,47.21㎡,徐汇-万体馆-龙山新村,121.444891,31.184374,4号线,0.1883
整租·中山苑 4室2厅 复式 南,29700,179.50㎡,徐汇-龙华-中山苑,121.446827,31.181012,11号线,0.5559
整租·中原新村 1室1厅 南,5034,30.37㎡,徐汇-徐家汇-中原新村,121.434059,31.183924,1号线,0.3435
整租·华狮国际公寓 1室1厅 南/西,6500,48.03㎡,徐汇-徐家汇-华狮国际公寓,121.441845,31.190525,4号线,0.5685
整租·徐家汇花园 2室2厅 南,11333,120.63㎡,徐汇-徐家汇-徐家汇花园,121.447207,31.193531,9号线,0.7145
整租·馨宁公寓 1室1厅 南,4100,42.29㎡,徐汇-华泾-馨宁公寓,121.447726,31.128049,15号线,1.0306
整租·东安五村 1室1厅 南,5560,34.00㎡,徐汇-龙华-东安五村,121.452592,31.184251,12号线,0.4265
整租·嘉御庭一期 3室2厅 南,43000,180.39㎡,徐汇-建国西路-嘉御庭一期,121.459719,31.206481,9号线,0.4166
整租·吴东小区 2室1厅 南,6390,50.77㎡,徐汇-徐家汇-吴东小区,121.422474,31.191462,4号线,0.6904
整租·宜德苑 3室2厅 南,16000,125.37㎡,徐汇-徐家汇-宜德苑,121.426571,31.185311,4号线,0.1668
整租·徐汇臻园 4室2厅 南/北,18000,187.82㎡,徐汇-华泾-徐汇臻园,121.448925,31.125721,15号线,1.0712
整租·南丹小区 1室1厅 西,6500,37.38㎡,徐汇-徐家汇-南丹小区,121.430324,31.191219,4号线,0.5814
整租·凯旋一村 1室1厅 南,5730,38.00㎡,徐汇-徐家汇-凯旋一村,121.423993,31.19315,4号线,0.5718
整租·陇南小区 1室1厅 南,3200,47.73㎡,徐汇-华东理工-陇南小区,121.422549,31.129251,15号线,1.2897
整租·元福大厦 3室2厅 南,15500,145.66㎡,徐汇-徐家汇-元福大厦,121.432223,31.19183,11号线,0.584
整租·协合公寓  3室2厅 南,13500,143.74㎡,徐汇-斜土路-协合公寓,121.462971,31.19606,12号线,0.224
整租·东荡小区 1室1厅 南,5429,43.48㎡,徐汇-上海南站-东荡小区,121.428113,31.15015,1号线,0.5243
整租·嘉汇国际广场 1室2厅 东南,6900,62.52㎡,徐汇-徐家汇-嘉汇国际广场,121.442908,31.188412,4号线,0.3168
整租·馨宁公寓 1室1厅 南,5690,61.70㎡,徐汇-华泾-馨宁公寓,121.447726,31.128049,15号线,1.0306
整租·汇景苑 2室2厅 南,20000,100.52㎡,徐汇-建国西路-汇景苑,121.461386,31.204557,9号线,0.2032
整租·华强公寓 2室1厅 东,8330,64.76㎡,徐汇-衡山路-华强公寓,121.445913,31.203139,1号线,0.1615
整租·馨宁公寓 1室1厅 南,4000,42.29㎡,徐汇-华泾-馨宁公寓,121.447726,31.128049,15号线,1.0306
整租·徐家汇花园 2室1厅 南,11960,111.82㎡,徐汇-徐家汇-徐家汇花园,121.447207,31.193531,9号线,0.7145
整租·尚光徐汇中心 2室1厅 南,10000,54.90㎡,徐汇-徐家汇-尚光徐汇中心,121.430238,31.186596,4号线,0.2904
整租·金巢铂瑞阁 1室1厅 西,8830,60.74㎡,徐汇-斜土路-金巢铂瑞阁,121.464861,31.200468,9号线,0.4742
整租·新汇公寓 1室1厅 南,8800,75.17㎡,徐汇-徐家汇-新汇公寓,121.446141,31.195053,9号线,0.6218
整租·东航公寓 2室1厅 南,8560,91.91㎡,徐汇-徐家汇-东航公寓,121.421397,31.190298,4号线,0.6803
整租·科嘉小区 2室1厅 南,7800,59.59㎡,徐汇-徐家汇-科嘉小区,121.442135,31.19429,11号线,0.5444
整租·轻工大楼 1室1厅 南,6030,48.90㎡,徐汇-斜土路-轻工大楼,121.459143,31.196867,12号线,0.5023
整租·徐汇苑 2室2厅 南/北,20500,134.56㎡,徐汇-龙华-徐汇苑,121.44403,31.177843,11号线,0.2861
